#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 163587:1743 | 04/27/11 22:50:52 | 52   | 52   | 0.001          | 0.001         |
| 163588:1743 | 04/27/11 23:24:08 | 445  | 445  | 0.006          | 0.006         |
| 163589:1743 | 04/28/11 02:21:33 | 159  | 159  | 0.002          | 0.002         |
| 163596:1743 | 04/28/11 05:10:52 | 25   | 25   | 0.000          | 0.000         |
| 163630:1744 | 04/28/11 12:17:11 | 97   | 97   | 0.001          | 0.001         |
| 163655:1745 | 04/28/11 17:43:34 | 9    | 9    | 0.000          | 0.000         |
| 163657:1745 | 04/28/11 17:56:55 | 140  | 140  | 0.002          | 0.002         |
| 163658:1745 | 04/28/11 18:56:40 | 3    | 3    | 0.000          | 0.000         |
| 163659:1745 | 04/28/11 19:04:06 | 701  | 701  | 0.010          | 0.009         |
| 163660:1745 | 04/28/11 23:43:23 | 74   | 74   | 0.001          | 0.001         |
| 163661:1745 | 04/29/11 00:16:32 | 17   | 17   | 0.000          | 0.000         |
| 163662:1745 | 04/29/11 00:27:22 | 154  | 154  | 0.002          | 0.002         |
| 163663:1745 | 04/29/11 01:36:09 | 244  | 244  | 0.003          | 0.003         |
| 163664:1745 | 04/29/11 03:13:51 | 177  | 177  | 0.002          | 0.002         |
| 163668:1745 | 04/29/11 05:36:06 | 207  | 207  | 0.002          | 0.002         |
| 163738:1748 | 04/30/11 02:36:59 | 266  | 266  | 0.004          | 0.004         |
| 163757:1749 | 04/30/11 11:20:54 | 40   | 40   | 0.001          | 0.001         |
| 163758:1749 | 04/30/11 11:39:30 | 564  | 564  | 0.008          | 0.007         |
| 163759:1749 | 04/30/11 15:32:57 | 485  | 485  | 0.006          | 0.006         |
| 163760:1749 | 04/30/11 18:57:42 | 338  | 338  | 0.004          | 0.004         |
| 163761:1749 | 04/30/11 21:18:54 | 203  | 203  | 0.002          | 0.002         |
| 163763:1749 | 04/30/11 22:48:02 | 79   | 79   | 0.001          | 0.001         |
| 163765:1749 | 04/30/11 23:27:54 | 308  | 308  | 0.003          | 0.003         |
| 163795:1753 | 05/01/11 15:03:16 | 29   | 29   | 0.001          | 0.000         |
| 163796:1753 | 05/01/11 15:21:10 | 176  | 176  | 0.003          | 0.003         |
| 163817:1755 | 05/02/11 02:16:32 | 750  | 750  | 0.013          | 0.013         |
| 163869:1756 | 05/03/11 09:47:33 | 42   | 42   | 0.001          | 0.001         |
| 165088:1782 | 05/15/11 03:25:12 | 148  | 148  | 0.000          | 0.000         |
| 165098:1783 | 05/15/11 08:34:09 | 285  | 285  | 0.000          | 0.000         |
| 165099:1783 | 05/15/11 10:37:33 | 105  | 105  | 0.000          | 0.000         |
| 165102:1783 | 05/15/11 14:07:09 | 185  | 185  | 0.000          | 0.000         |
| 165103:1783 | 05/15/11 15:25:28 | 440  | 440  | 0.000          | 0.000         |
| 165120:1785 | 05/16/11 07:38:24 | 16   | 16   | 0.000          | 0.000         |
| 165121:1785 | 05/16/11 07:49:40 | 466  | 466  | 0.002          | 0.002         |
| 165205:1787 | 05/17/11 23:10:42 | 169  | 169  | 0.001          | 0.001         |
| 165208:1787 | 05/18/11 00:38:36 | 101  | 101  | 0.000          | 0.000         |
| 165364:1795 | 05/19/11 19:37:14 | 1198 | 1198 | 0.017          | 0.017         |
| 165402:1796 | 05/20/11 12:36:45 | 27   | 27   | 0.000          | 0.000         |
| 165415:1798 | 05/20/11 23:17:27 | 1313 | 1313 | 0.020          | 0.019         |
| 165467:1799 | 05/21/11 16:35:55 | 666  | 666  | 0.012          | 0.012         |
| 165472:1799 | 05/21/11 21:22:15 | 881  | 881  | 0.013          | 0.013         |
| 165486:1800 | 05/22/11 10:14:55 | 66   | 66   | 0.001          | 0.001         |
| 165487:1800 | 05/22/11 10:46:54 | 144  | 144  | 0.003          | 0.003         |
| 165506:1801 | 05/22/11 16:43:16 | 114  | 114  | 0.002          | 0.002         |
| 165514:1802 | 05/22/11 22:14:58 | 476  | 476  | 0.011          | 0.011         |
| 165525:1803 | 05/23/11 05:53:17 | 31   | 31   | 0.001          | 0.001         |
| 165537:1803 | 05/23/11 07:44:36 | 293  | 293  | 0.005          | 0.005         |
| 165548:1803 | 05/23/11 11:05:05 | 586  | 586  | 0.009          | 0.009         |
| 165558:1803 | 05/23/11 15:19:21 | 62   | 62   | 0.001          | 0.001         |
| 165567:1804 | 05/23/11 22:18:28 | 569  | 569  | 0.013          | 0.012         |
| 165570:1804 | 05/24/11 02:13:46 | 931  | 931  | 0.017          | 0.017         |
| 165617:1805 | 05/24/11 19:28:38 | 260  | 260  | 0.006          | 0.006         |
| 165620:1805 | 05/24/11 22:25:52 | 6    | 6    | 0.000          | 0.000         |
| 165633:1806 | 05/25/11 04:24:00 | 439  | 439  | 0.010          | 0.010         |
| 165970:1809 | 05/27/11 18:43:09 | 261  | 261  | 0.007          | 0.007         |
| 165993:1812 | 05/28/11 04:20:01 | 1618 | 1618 | 0.033          | 0.033         |
| 166011:1813 | 05/29/11 00:14:43 | 81   | 81   | 0.002          | 0.002         |
| 166033:1815 | 05/29/11 06:58:55 | 1169 | 1169 | 0.031          | 0.030         |
| 166034:1815 | 05/29/11 14:54:04 | 297  | 297  | 0.006          | 0.006         |
| 166049:1816 | 05/29/11 22:17:56 | 616  | 616  | 0.017          | 0.016         |
| 166149:1822 | 05/31/11 01:31:14 | 1    | 1    | 0.000          | 0.000         |
| 166150:1822 | 05/31/11 01:43:24 | 99   | 99   | 0.003          | 0.003         |
| 166161:1823 | 05/31/11 05:28:16 | 86   | 86   | 0.002          | 0.002         |
| 166163:1823 | 05/31/11 06:07:03 | 32   | 32   | 0.001          | 0.001         |
| 166164:1823 | 05/31/11 06:24:59 | 32   | 32   | 0.001          | 0.001         |
| 166346:1835 | 06/01/11 15:34:24 | 163  | 163  | 0.004          | 0.004         |
| 166374:1836 | 06/01/11 22:07:18 | 142  | 142  | 0.004          | 0.004         |
| 166380:1836 | 06/02/11 01:13:05 | 1796 | 1796 | 0.037          | 0.036         |
| 166408:1841 | 06/03/11 01:57:48 | 1153 | 1153 | 0.029          | 0.029         |
| 166429:1844 | 06/03/11 16:56:22 | 55   | 55   | 0.002          | 0.001         |
| 166438:1845 | 06/03/11 22:18:40 | 833  | 833  | 0.019          | 0.019         |
| 166462:1846 | 06/04/11 09:26:42 | 436  | 436  | 0.010          | 0.010         |
| 166486:1848 | 06/04/11 19:31:35 | 108  | 108  | 0.002          | 0.002         |
| 166502:1851 | 06/05/11 02:33:05 | 57   | 57   | 0.002          | 0.001         |
| 166512:1852 | 06/05/11 05:28:17 | 1814 | 1814 | 0.040          | 0.039         |
| 166514:1852 | 06/05/11 17:33:39 | 455  | 455  | 0.008          | 0.008         |
| 166530:1854 | 06/06/11 03:32:25 | 19   | 19   | 0.001          | 0.000         |
| 166554:1855 | 06/06/11 11:58:27 | 678  | 678  | 0.017          | 0.017         |
| 166563:1855 | 06/06/11 16:37:40 | 533  | 533  | 0.011          | 0.011         |
| 166565:1855 | 06/06/11 21:40:57 | 885  | 885  | 0.016          | 0.015         |
| 166699:1856 | 06/07/11 18:36:44 | 840  | 840  | 0.019          | 0.018         |
| 166701:1856 | 06/08/11 00:17:55 | 735  | 735  | 0.013          | 0.013         |
| 166763:1859 | 06/08/11 21:11:35 | 595  | 595  | 0.014          | 0.014         |
| 166781:1862 | 06/09/11 09:41:41 | 335  | 335  | 0.008          | 0.008         |
| 166782:1862 | 06/09/11 11:59:00 | 569  | 569  | 0.013          | 0.012         |
| 166784:1862 | 06/09/11 15:45:50 | 357  | 357  | 0.007          | 0.007         |
| 166787:1862 | 06/09/11 18:31:47 | 352  | 352  | 0.006          | 0.006         |
| 166839:1863 | 06/10/11 23:46:01 | 255  | 255  | 0.006          | 0.006         |
| 166841:1863 | 06/11/11 01:35:27 | 991  | 991  | 0.021          | 0.021         |
| 166842:1863 | 06/11/11 08:13:23 | 164  | 164  | 0.003          | 0.003         |
| 166859:1864 | 06/11/11 20:34:19 | 350  | 350  | 0.009          | 0.009         |
| 166860:1864 | 06/11/11 23:03:07 | 20   | 20   | 0.000          | 0.000         |
| 166861:1864 | 06/11/11 23:17:47 | 11   | 11   | 0.000          | 0.000         |
| 166864:1864 | 06/11/11 23:49:43 | 494  | 494  | 0.011          | 0.010         |
| 166888:1865 | 06/12/11 09:59:12 | 409  | 409  | 0.011          | 0.011         |
| 166889:1865 | 06/12/11 12:46:41 | 223  | 223  | 0.005          | 0.005         |
| 166890:1865 | 06/12/11 14:21:04 | 441  | 441  | 0.010          | 0.010         |
| 166894:1865 | 06/12/11 18:04:12 | 190  | 190  | 0.004          | 0.004         |
| 166895:1865 | 06/12/11 19:29:43 | 595  | 595  | 0.011          | 0.011         |
| 166911:1866 | 06/13/11 06:39:49 | 39   | 39   | 0.001          | 0.001         |
| 166922:1867 | 06/13/11 09:43:28 | 753  | 753  | 0.019          | 0.019         |
| 166923:1867 | 06/13/11 14:50:48 | 459  | 459  | 0.010          | 0.010         |
| 166946:1868 | 06/14/11 03:32:38 | 159  | 159  | 0.004          | 0.004         |
| 166950:1868 | 06/14/11 04:53:11 | 1402 | 1402 | 0.031          | 0.031         |
| 166960:1868 | 06/14/11 14:16:59 | 161  | 161  | 0.003          | 0.003         |
| 166966:1868 | 06/14/11 15:35:01 | 238  | 238  | 0.004          | 0.004         |
| 166967:1868 | 06/14/11 17:14:30 | 215  | 215  | 0.004          | 0.004         |
| 167039:1871 | 06/16/11 03:24:50 | 204  | 204  | 0.005          | 0.005         |
| 167041:1871 | 06/16/11 04:58:08 | 653  | 653  | 0.014          | 0.014         |
| 167043:1871 | 06/16/11 09:21:34 | 223  | 223  | 0.004          | 0.004         |
| 167078:1873 | 06/16/11 21:15:54 | 131  | 131  | 0.003          | 0.003         |
| 167098:1875 | 06/17/11 02:18:28 | 350  | 350  | 0.009          | 0.009         |
| 167102:1875 | 06/17/11 06:37:15 | 418  | 418  | 0.009          | 0.008         |
| 167103:1875 | 06/17/11 09:28:54 | 91   | 91   | 0.002          | 0.002         |
| 167151:1880 | 06/18/11 03:24:07 | 41   | 41   | 0.001          | 0.001         |
| 167281:1883 | 06/20/11 20:20:01 | 570  | 570  | 0.014          | 0.014         |
| 167282:1883 | 06/21/11 00:07:33 | 441  | 441  | 0.009          | 0.009         |
| 167284:1883 | 06/21/11 03:09:42 | 1621 | 1621 | 0.026          | 0.026         |
| 167551:1889 | 06/24/11 07:08:02 | 404  | 404  | 0.012          | 0.011         |
| 167673:1890 | 06/24/11 18:58:11 | 226  | 226  | 0.006          | 0.006         |
| 167674:1890 | 06/24/11 20:54:09 | 345  | 345  | 0.009          | 0.009         |
| 167675:1890 | 06/24/11 23:12:35 | 935  | 935  | 0.020          | 0.020         |
| 167676:1890 | 06/25/11 06:08:31 | 436  | 436  | 0.008          | 0.008         |
| 167740:1893 | 06/25/11 21:05:28 | 83   | 83   | 0.002          | 0.002         |
